2025-09-21 11:56:22,Face,neutral
2025-09-21 12:04:36,Face,sad
2025-09-21 12:12:20,Text,joy
2025-09-21 12:24:39,Text,sadness
2025-09-21 12:31:46,Text,anger
2025-09-21 13:42:03,Text,joy
2025-09-21 13:42:43,Text,joy
2025-09-21 13:43:17,Text,anger
2025-09-21 13:49:45,Text,joy
2025-09-21 14:23:28,Chat,joy
2025-09-21 14:41:45,Chat,sadness
2025-09-21 14:42:23,Chat,sadness
2025-09-21 14:43:42,Chat,sadness
2025-09-21 14:45:33,Face,surprise
2025-09-21 14:54:17,Chat,neutral
2025-09-21 15:06:31,Chat,sadness
2025-09-21 16:21:55,Face,fear
2025-09-21 17:46:16,Chat,sadness
2025-09-21 17:56:01,Text,sadness
2025-09-21 17:56:40,Face,sad
2025-09-22 06:08:30,Chat,anger
2025-09-22 11:48:33,Chat,sadness
2025-09-22 11:50:28,Text,anger
2025-09-22 11:51:26,Chat,fear
2025-09-22 11:53:28,Face,surprise
